A1CAP,A1 CAPITAL YATIRIM
ACSEL,ACIPAYAM SELULOZ
ADEL,ADEL KALEMCILIK
ADESE,ADESE GAYRIMENKUL
ADGYO,ADRA GMYO
AEFES,ANADOLU EFES
AFYON,AFYON CIMENTO
AGESA,AGESA HAYAT EMEKLILIK
AGHOL,ANADOLU GRUBU HOLDING
AGROT,AGROTECH TEKNOLOJI
AGYO,ATAKULE GMYO
AHGAZ,AHLATCI DOGALGAZ
AKBNK,AKBANK
AKCNS,AKCANSA
AKENR,AK ENERJI
AKFGY,AKFEN GMYO
AKFYE,AKFEN YEN. ENERJI
AKGRT,AKSIGORTA
AKMGY,AKMERKEZ GMYO
AKSA,AKSA
AKSEN,AKSA ENERJI
AKSGY,AKIS GMYO
AKSUE,AKSU ENERJI
AKYHO,AKDENIZ YATIRIM HOLDING
ALARK,ALARKO HOLDING
ALBRK,ALBARAKA TURK
ALCAR,ALARKO CARRIER
ALCTL,ALCATEL LUCENT TELETAS
ALFAS,ALFA SOLAR ENERJI
ALGYO,ALARKO GMYO
ALKA,ALKIM KAGIT
ALKIM,ALKIM KIMYA
ALKLC,ALTINKILIC GIDA VE SUT
ALMAD,ALTINYAG MADENCILIK VE ENERJI
ALTNY,ALTINAY SAVUNMA
ALVES,ALVES KABLO
ANELE,ANEL ELEKTRIK
ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI
ANHYT,ANADOLU HAYAT EMEK.
ANSGR,ANADOLU SIGORTA
ARASE,DOGU ARAS ENERJI
ARCLK,ARCELIK
ARDYZ,ARD BILISIM TEKNOLOJILERI
ARENA,ARENA BILGISAYAR
ARSAN,ARSAN TEKSTIL
ARTMS,ARTEMIS HALI
ARZUM,ARZUM EV ALETLERI
ASELS,ASELSAN
ASGYO,ASCE GMYO
ASTOR,ASTOR ENERJI
ASUZU,ANADOLU ISUZU
ATAGY,ATA GMYO
ATAKP,ATAKEY PATATES
ATATP,ATP YAZILIM
ATEKS,AKIN TEKSTIL
AVGYO,AVRASYA GMYO
AVHOL,AVRUPA YATIRIM HOLDING
AVOD,A.V.O.D GIDA VE TARIM
AVPGY,AVRUPAKENT GMYO
AVTUR,AVRASYA PETROL VE TUR.
AYCES,ALTINYUNUS CESME
AYDEM,AYDEM ENERJI
AYEN,AYEN ENERJI
AYES,AYES CELIK HASIR VE CIT
AYGAZ,AYGAZ
AZTEK,AZTEK TEKNOLOJI
BAGFS,BAGFAS
BAKAB,BAK AMBALAJ
BALAT,BALATACILAR BALATACILIK
BANVT,BANVIT
BARMA,BAREM AMBALAJ
BASCM,BASTAS BASKENT CIMENTO
BASGZ,BASKENT DOGALGAZ GMYO
BAYRK,BAYRAK TABAN SANAYI
BEGYO,BATI EGE GMYO
BERA,BERA HOLDING
BEYAZ,BEYAZ FILO
BFREN,BOSCH FREN SISTEMLERI
BIENY,BIEN YAPI URUNLERI
BIGCH,BUYUK SEFLER BIGCHEFS
BIMAS,BIM MAGAZALAR
BINHO,1000 YATIRIMLAR HOL.
BIOEN,BIOTREND CEVRE VE ENERJI
BIZIM,BIZIM MAGAZALARI
BJKAS,BESIKTAS FUTBOL YAT.
BLCYT,BILICI YATIRIM
BMSCH,BMS CELIK HASIR
BMSTL,BMS BIRLESIK METAL
BNTAS,BANTAS AMBALAJ
BOBET,BOGAZICI BETON SANAYI
BORLS,BORLEASE OTOMOTIV
BORSK,BOR SEKER
BOSSA,BOSSA
BRISA,BRISA
BRKSN,BERKOSAN YALITIM
BRKVY,BIRIKIM VARLIK YONETIM
BRLSM,BIRLESIM MUHENDISLIK
BRSAN,BORUSAN BORU SANAYI
BRYAT,BORUSAN YAT. PAZ.
BSOKE,BATISOKE CIMENTO
BTCIM,BATI CIMENTO
BUCIM,BURSA CIMENTO
BURCE,BURCELIK
BURVA,BURCELIK VANA
BVSAN,BULBULOGLU VINC
BYDNR,BAYDONER RESTORANLARI
CANTE,CAN2 TERMIK
CATES,CATES ELEKTRIK
CCOLA,COCA COLA ICECEK
CELHA,CELIK HALAT
CEMAS,CEMAS DOKUM
CEMTS,CEMTAS
CEOEM,CEO EVENT MEDYA
CIMSA,CIMSA
CLEBI,CELEBI
CMBTN,CIMBETON
CMENT,CIMENTAS
CONSE,CONSUS ENERJI
COSMO,COSMOS YAT. HOLDING
CRDFA,CREDITWEST FAKTORING
CRFSA,CARREFOURSA
CUSAN,CUHADAROGLU METAL
CVKMD,CVK MADEN
CWENE,CW ENERJI
DAGHL,DAGI YATIRIM HOLDING
DAGI,DAGI GIYIM
DAPGM,DAP GAYRIMENKUL
DARDL,DARDANEL
DENGE,DENGE HOLDING
DERHL,DERLUKS YATIRIM HOLDING
DERIM,DERIMOD
DESA,DESA DERI
DESPC,DESPEC BILGISAYAR
DEVA,DEVA HOLDING
DGATE,DATAGATE BILGISAYAR
DGGYO,DOGUS GMYO
DGNMO,DOGANLAR MOBILYA
DITAS,DITAS DOGAN
DMRGD,DMR UNLU MAMULLER
DMSAS,DEMISAS DOKUM
DNISI,DINAMIK ISI MAKINA YALITIM
DOAS,DOGUS OTOMOTIV
DOBUR,DOGAN BURDA
DOCO,DO-CO
DOFER,DOFER YAPI MALZEMELERI
DOGUB,DOGUSAN
DOHOL,DOGAN HOLDING
DOKTA,DOKTAS DOKUMCULUK
DURDO,DURAN DOGAN BASIM
DYOBY,DYO BOYA
DZGYO,DENIZ GMYO
EBEBK,EBEBEK MAGAZACILIK
ECILC,ECZACIBASI ILAC
ECZYT,ECZACIBASI YATIRIM
EDATA,E-DATA TEKNOLOJI
EDIP,EDIP GAYRIMENKUL
EFORC,EFOR CAY SANAYI
EGEEN,EGE ENDUSTRI
EGEPO,NASMED EGEPOL
EGGUB,EGE GUBRE
EGPRO,EGE PROFIL
EGSER,EGE SERAMIK
EKGYO,EMLAK KONUT GMYO
EKOS,EKOS TEKNOLOJI
EKSUN,EKSUN GIDA
ELITE,ELITE NATUREL ORGANIK GIDA
EMKEL,EMEK ELEKTRIK
ENERY,ENERYA ENERJI
ENJSA,ENERJISA ENERJI
ENKAI,ENKA INSAAT
ENSRI,ENSARI DERI
ENTRA,IC ENTERRA YEN. ENERJI
EPLAS,EGEPLAST
ERBOS,ERBOSAN
ERCB,ERCIYAS CELIK BORU
EREGL,EREGLI DEMIR CELIK
ERSU,ERSU GIDA
ESCAR,ESCAR FILO
ESCOM,ESCORT TEKNOLOJI
ESEN,ESENBOGA ELEKTRIK
ETILR,ETILER GIDA
EUHOL,EURO YATIRIM HOLDING
EUPWR,EUROPOWER ENERJI
EUREN,EUROPEN ENDUSTRI
EYGYO,EYG GMYO
FADE,FADE GIDA
FENER,FENERBAHCE FUTBOL
FLAP,FLAP KONGRE TOPLANTI HIZ.
FMIZP,F-M IZMIT PISTON
FONET,FONET BILGI TEKNOLOJILERI
FORMT,FORMET METAL VE CAM
FORTE,FORTE BILGI ILETISIM
FRIGO,FRIGO PAK GIDA
FROTO,FORD OTOSAN
FZLGY,FUZUL GMYO
GARAN,GARANTI BANKASI
GARFA,GARANTI FAKTORING
GEDIK,GEDIK Y. MEN. DEG.
GEDZA,GEDIZ AMBALAJ
GENIL,GEN ILAC
GENTS,GENTAS
GEREL,GERSAN ELEKTRIK
GESAN,GIRISIM ELEKTRIK SANAYI
GIPTA,GIPTA OFIS KIRTASIYE
GLBMD,GLOBAL MEN. DEG.
GLCVY,GELECEK VARLIK YONETIMI
GLRYH,GULER YAT. HOLDING
GLYHO,GLOBAL YAT. HOLDING
GMTAS,GIMAT MAGAZACILIK
GOKNR,GOKNUR GIDA
GOLTS,GOLTAS CIMENTO
GOODY,GOOD-YEAR
GOZDE,GOZDE GIRISIM
GRSEL,GUR-SEL TURIZM TASIMACILIK
GRTRK,GRAINTURK TARIM
GSDDE,GSD DENIZCILIK
GSDHO,GSD HOLDING
GSRAY,GALATASARAY SPORTIF
GUBRF,GUBRE FABRIK.
GWIND,GALATA WIND ENERJI
GZNMI,GEZINOMI SEYAHAT
HALKB,T. HALK BANKASI
HATEK,HATAY TEKSTIL
HATSN,HATSAN GEMI
HDFGS,HEDEF GIRISIM
HEDEF,HEDEF HOLDING
HEKTS,HEKTAS
HKTM,HIDROPAR HAREKET KONTROL
HLGYO,HALK GMYO
HOROZ,HOROZ LOJISTIK
HRKET,HAREKET PROJE TASIMACILIGI
HTTBT,HITIT BILGISAYAR
HUBVC,HUB GIRISIM
HUNER,HUN YENILENEBILIR ENERJI
HURGZ,HURRIYET GZT.
ICBCT,ICBC TURKEY BANK
ICUGS,ICU GIRISIM
IDGYO,IDEALIST GMYO
IEYHO,ISIKLAR ENERJI YAPI HOL.
IHAAS,IHLAS HABER AJANSI
IHEVA,IHLAS EV ALETLERI
IHGZT,IHLAS GAZETECILIK
IHLAS,IHLAS HOLDING
IHLGM,IHLAS GAYRIMENKUL
IHYAY,IHLAS YAYIN HOLDING
IMASM,IMAS MAKINA
INDES,INDEKS BILGISAYAR
INFO,INFO YATIRIM
INGRM,INGRAM BILISIM
INTEM,INTEMA
INVEO,INVEO YATIRIM HOLDING
INVES,INVESTCO HOLDING
IPEKE,IPEK DOGAL ENERJI
ISATR,IS BANKASI (A)
ISBIR,ISBIR HOLDING
ISBTR,IS BANKASI (B)
ISCTR,IS BANKASI (C)
ISDMR,ISKENDERUN DEMIR CELIK
ISFIN,IS FIN.KIR.
ISGSY,IS GIRISIM
ISGYO,IS GMYO
ISKPL,ISIK PLASTIK
ISMEN,IS Y. MEN. DEG.
ISSEN,ISBIR SENTETIK DOKUMA
IZENR,IZDEMIR ENERJI
IZFAS,IZMIR FIRCA
IZINV,IZ YATIRIM HOLDING
IZMDC,IZMIR DEMIR CELIK
JANTS,JANTSA JANT SANAYI
KAPLM,KAPLAMIN
KAREL,KAREL ELEKTRONIK
KARSN,KARSAN OTOMOTIV
KARTN,KARTONSAN
KARYE,KARTAL YEN. ENERJI
KATMR,KATMERCILER EKIPMAN
KAYSE,KAYSERI SEKER FABRIKASI
KBORU,KUZEY BORU
KCAER,KOCAER CELIK
KCHOL,KOC HOLDING
KENT,KENT GIDA
KERVT,KEREVITAS GIDA
KFEIN,KAFEIN YAZILIM
KGYO,KORAY GMYO
KIMMR,KIM MARKET-ERSAN ALISVERIS
KLGYO,KILER GMYO
KLKIM,KALEKIM KIMYEVI MADDELER
KLMSN,KLIMASAN KLIMA
KLNMA,T. KALKINMA BANK.
KLRHO,KILER HOLDING
KLSER,KALESERAMIK
KLSYN,KOLEKSIYON MOBILYA
KMPUR,KIMTEKS POLIURETAN
KNFRT,KONFRUT GIDA
KOCMT,KOC METALURJI
KONKA,KONYA KAGIT
KONTR,KONTROLMATIK TEKNOLOJI
KONYA,KONYA CIMENTO
KOPOL,KOZA POLYESTER
KORDS,KORDSA TEKNIK TEKSTIL
KOTON,KOTON MAGAZACILIK
KOZAA,KOZA MADENCILIK
KOZAL,KOZA ALTIN
KRDMA,KARDEMIR (A)
KRDMB,KARDEMIR (B)
KRDMD,KARDEMIR (D)
KRGYO,KORFEZ GMYO
KRONT,KRON TEKNOLOJI
KRPLS,KOROPLAST TEMIZLIK AMBALAJ
KRSTL,KRISTAL KOLA
KRTEK,KARSU TEKSTIL
KRVGD,KERVAN GIDA
